brand_name,model_name,wurfl_device_id,wurfl_fall_back,method,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
Mozilla,Firefox,firefox_19_0,firefox_18_0,CLICKTAG,3,3,0,3,0,0,0,0,,Desktop,,2012_november,Firefox Desktop
Mozilla,Firefox,firefox_20_0,firefox_19_0,NULL,14,14,14,0,0,0,0,0,,Desktop,,2012_november,Firefox Desktop
Sony,ST21i,sony_st21iv_ver1_subuanosony,sony_st21iv_ver1,WAPPIN,3,3,0,3,0,0,0,0,Xperia Tipo,Android,4,2012_july,Android Webkit
Sony,ST21i,sony_st21iv_ver1_subuanosony,sony_st21iv_ver1,NULL,6,6,6,0,0,0,0,0,Xperia Tipo,Android,4,2012_july,Android Webkit
Google,Nexus 4,lg_nexus4_ver1_subuachrome,lg_nexus4_ver1,NULL,80,80,80,0,0,0,0,0,,Android,4.2,2012_june,Chrome Mobile
Google,Nexus 4,lg_nexus4_ver1_subuachrome,lg_nexus4_ver1,CLICKTAG,14,6,0,14,0,0,0,0,,Android,4.2,2012_june,Chrome Mobile
Google,Nexus 4,lg_nexus4_ver1_subuachrome,lg_nexus4_ver1,WAPPIN,23,3,0,23,2,0,0,0,,Android,4.2,2012_june,Chrome Mobile
Sony,ST21i2,sony_st21iv_ver1_subuai2nosony,sony_st21iv_ver1,CLICKTAG,3,3,0,3,0,0,0,0,Xperia Tipo Dual,Android,4,2012_july,Android Webkit
Sony,ST21i2,sony_st21iv_ver1_subuai2nosony,sony_st21iv_ver1,NULL,55,55,55,0,0,0,0,0,Xperia Tipo Dual,Android,4,2012_july,Android Webkit
Micromax,A90s,micromax_a90s_ver1,generic_android_ver4,NULL,2,2,2,0,0,0,0,0,Superfone Pixel,Android,4,2012_october,Android Webkit
HTC,T328w,htc_t328w_ver1_subuadesirev,htc_t328w_ver1,WAPPIN,73,63,0,73,10,4,0.054794520547945,0.054794520547945,Desire V,Android,4,2012_april,Android Webkit
HTC,T328w,htc_t328w_ver1_subuadesirev,htc_t328w_ver1,CLICKTAG,12,10,0,12,0,0,0,0,Desire V,Android,4,2012_april,Android Webkit
HTC,T328w,htc_t328w_ver1_subuadesirev,htc_t328w_ver1,SMS_WAP,5,5,0,5,0,0,0,0,Desire V,Android,4,2012_april,Android Webkit
HTC,T328w,htc_t328w_ver1_subuadesirev,htc_t328w_ver1,NULL,420,420,420,0,0,0,0,0,Desire V,Android,4,2012_april,Android Webkit
Karbonn,A7,karbonn_a9_ver1,generic_android_ver2_3,NULL,1,1,1,0,0,0,0,0,,Android,2.3,2012_september,Android Webkit
Coby,MID7042,coby_mid7042_ver1,generic_android_ver4,CLICKTAG,1,1,0,1,0,0,0,0,Kyros MID7042,Android,4,2012_april,Android Webkit
Coby,MID7042,coby_mid7042_ver1,generic_android_ver4,NULL,22,22,22,0,0,0,0,0,Kyros MID7042,Android,4,2012_april,Android Webkit
Coby,MID7042,coby_mid7042_ver1,generic_android_ver4,WAPPIN,1,1,0,1,0,0,0,0,Kyros MID7042,Android,4,2012_april,Android Webkit
LG,LS840,lg_ls840_ver1_suban40,lg_ls840_ver1,NULL,3,3,3,0,0,0,0,0,Viper 4G LTE,Android,4,2012_april,Android Webkit
HTC,One V,htc_one_v_ver1_subuauscore,htc_one_v_ver1,WAPPIN,24,2,0,24,1,0,0,0,,Android,4,2012_may,Android Webkit
HTC,One V,htc_one_v_ver1_subuauscore,htc_one_v_ver1,CLICKTAG,6,3,0,6,0,0,0,0,,Android,4,2012_may,Android Webkit
HTC,One V,htc_one_v_ver1_subuauscore,htc_one_v_ver1,NULL,5,5,5,0,0,0,0,0,,Android,4,2012_may,Android Webkit
Nokia,309,nokia_309_ver1,nokia_generic_series40_ovibrosr,NULL,269,269,269,0,0,0,0,0,Asha 309,,,2012_november,Nokia Proxy Browser
Nokia,309,nokia_309_ver1_subuanomoz,nokia_309_ver1,CLICKTAG,258,133,0,258,0,0,0,0,Asha 309,,,2012_november,Nokia Proxy Browser
Nokia,309,nokia_309_ver1_subuanomoz,nokia_309_ver1,NULL,118,118,118,0,0,0,0,0,Asha 309,,,2012_november,Nokia Proxy Browser
Nokia,305,nokia_305_ver1_subuaovi,nokia_305_ver1,CLICKTAG,1,0,0,1,0,0,0,0,,,,2012_september,Nokia Proxy Browser
Nokia,305,nokia_305_ver1_subuamoz,nokia_305_ver1,CLICKTAG,2,2,0,2,0,0,0,0,,,,2012_september,Nokia Proxy Browser
Nokia,305,nokia_305_ver1_subuamoz,nokia_305_ver1,NULL,4569,4569,4569,0,0,0,0,0,,,,2012_september,Nokia Proxy Browser
Samsung,YP-GI1,samsung_yp_gi1_ver1,generic_android_ver2_3,CLICKTAG,2,1,0,2,0,0,0,0,Galaxy Player 4.2,Android,2.3,2010_november,Android Webkit
Samsung,YP-GI1,samsung_yp_gi1_ver1,generic_android_ver2_3,NULL,21,21,21,0,0,0,0,0,Galaxy Player 4.2,Android,2.3,2010_november,Android Webkit
Samsung,YP-GI1,samsung_yp_gi1_ver1,generic_android_ver2_3,WAPPIN,7,4,0,7,0,0,0,0,Galaxy Player 4.2,Android,2.3,2010_november,Android Webkit
Samsung,SHW-M480W,samsung_gt_n8000_ver1_subuam480w,samsung_gt_n8000_ver1,NULL,2,2,2,0,0,0,0,0,Galaxy Note 10.1,Android,4,2012_april,Android Webkit
