brand_name,model_name,wurfl_device_id,wurfl_fall_back,method,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
Motorola,MZ604,mot_mz601_ver1_submz604,mot_mz601_ver1,GooglePlay,1,0,0,1,0,0,0,0,Xoom,Android,3,2011_march,Android Webkit
Motorola,MZ604,mot_mz601_ver1_suban31mz604,mot_mz601_ver1,GooglePlay,3,0,0,3,0,0,0,0,Xoom,Android,3.1,2011_march,Android Webkit
Motorola,MZ604,mot_mz601_ver1_suban31mz604,mot_mz601_ver1,NULL,1,1,1,0,0,0,0,0,Xoom,Android,3.1,2011_march,Android Webkit
SonyEricsson,CK15i,sonyericsson_ck15i_ver1,lg_generic_obigo_q7,NULL,1,1,1,0,0,0,0,0,,,,2011_august,Teleca-Obigo
SonyEricsson,CK15i,sonyericsson_ck15i_ver1,lg_generic_obigo_q7,CLICKTAG,4,1,0,4,0,0,0,0,,,,2011_august,Teleca-Obigo
Nokia,C3-00,nokia_c3_00_ver1_subovibrsr,nokia_c3_00_ver1,CLICKTAG,78,78,0,78,0,0,0,0,,,,2011_august,Nokia Proxy Browser
Nokia,C3-00,nokia_c3_00_ver1_subovibrsr,nokia_c3_00_ver1,NULL,109,109,109,0,0,0,0,0,,,,2011_august,Nokia Proxy Browser
Motorola,XT311,mot_xt311_ver1_subua,mot_xt311_ver1,GooglePlay,1,0,0,1,0,0,0,0,,Android,2.3,2011_august,Android Webkit
Apple,iPod Touch,apple_ipod_touch_ver4_3_4,apple_ipod_touch_ver4_3_3,NULL,6,6,6,0,0,0,0,0,,iOS,4.3.4,2011_april,Safari
Apple,iPhone,apple_iphone_ver4_3_4,apple_iphone_ver4_3_3,WAPPIN,1,1,0,1,0,0,0,0,,iOS,4.3.4,2011_april,Safari
Apple,iPhone,apple_iphone_ver4_3_4,apple_iphone_ver4_3_3,Unknown,2,0,0,2,0,0,0,0,,iOS,4.3.4,2011_april,Safari
Apple,iPhone,apple_iphone_ver4_3_4,apple_iphone_ver4_3_3,NULL,6,6,6,0,0,0,0,0,,iOS,4.3.4,2011_april,Safari
Apple,iPad,apple_ipad_ver1_sub435,apple_ipad_ver1_sub432,WAPPIN,51,20,0,51,4,0,0,0,,iOS,4.3.5,2011_may,Safari
Apple,iPad,apple_ipad_ver1_sub435,apple_ipad_ver1_sub432,NULL,204,204,204,0,0,0,0,0,,iOS,4.3.5,2011_may,Safari
Apple,iPad,apple_ipad_ver1_sub435,apple_ipad_ver1_sub432,CLICKTAG,1,1,0,1,0,0,0,0,,iOS,4.3.5,2011_may,Safari
Apple,iPad,apple_ipad_ver1_sub435,apple_ipad_ver1_sub432,SMS_WAP,2,2,0,2,0,0,0,0,,iOS,4.3.5,2011_may,Safari
Apple,iPod Touch,apple_ipod_touch_ver4_3_5,apple_ipod_touch_ver4_3_4,NULL,32,32,32,0,0,0,0,0,,iOS,4.3.5,2011_april,Safari
Apple,iPod Touch,apple_ipod_touch_ver4_3_5,apple_ipod_touch_ver4_3_4,Unknown,4,4,0,4,0,0,0,0,,iOS,4.3.5,2011_april,Safari
Apple,iPhone,apple_iphone_ver4_3_5,apple_iphone_ver4_3_4,WAPPIN,17,11,0,17,2,0,0,0,,iOS,4.3.5,2011_april,Safari
Apple,iPhone,apple_iphone_ver4_3_5,apple_iphone_ver4_3_4,Unknown,62,29,0,62,0,0,0,0,,iOS,4.3.5,2011_april,Safari
Apple,iPhone,apple_iphone_ver4_3_5,apple_iphone_ver4_3_4,NULL,337,337,337,0,0,0,0,0,,iOS,4.3.5,2011_april,Safari
Apple,iPhone,apple_iphone_ver4_3_5,apple_iphone_ver4_3_4,SMS_WAP,4,2,0,4,0,0,0,0,,iOS,4.3.5,2011_april,Safari
Samsung,GT-i5500,samsung_gt_i5500_ver1_suban22,samsung_gt_i5500_ver1,NULL,5,5,5,0,0,0,0,0,Galaxy 5,Android,2.2,2010_july,Android Webkit
Samsung,GT-i5500,samsung_gt_i5500_ver1_suban22,samsung_gt_i5500_ver1,GooglePlay,8,0,0,8,0,0,0,0,Galaxy 5,Android,2.2,2010_july,Android Webkit
HTC,A8181,htc_desire_a8181_ver1_suban23,htc_desire_a8181_ver1_suban22,NULL,3,3,3,0,0,0,0,0,Desire,Android,2.3,2010_september,Android Webkit
HTC,A8181,htc_desire_a8181_ver1_suban23,htc_desire_a8181_ver1_suban22,GooglePlay,2,1,0,2,0,0,0,0,Desire,Android,2.3,2010_september,Android Webkit
LG,P940,lg_p940_ver1,generic_android_ver2_3,NULL,6,6,6,0,0,0,0,0,Prada 3.0,Android,2.3,2011_september,Android Webkit
LG,P940,lg_p940_ver1,generic_android_ver2_3,GooglePlay,6,0,0,6,0,0,0,0,Prada 3.0,Android,2.3,2011_september,Android Webkit
Samsung,SGH-T959,samsung_sgh_t959_ver1_suban41rom,samsung_sgh_t959_ver1,GooglePlay,2,0,0,2,0,0,0,0,Vibrant,Android,4.1,2009_october,Android Webkit
Samsung,SGH-T959,samsung_sgh_t959_ver1_suban41rom,samsung_sgh_t959_ver1,NULL,2,2,2,0,0,0,0,0,Vibrant,Android,4.1,2009_october,Android Webkit
HTC,Z710,htc_sensation_ver1_subz710e_b,htc_sensation_ver1_subz710e,GooglePlay,29,4,0,29,0,0,0,0,Sensation,Android,2.3,2011_june,Android Webkit
HTC,Z710,htc_sensation_ver1_subz710e_b,htc_sensation_ver1_subz710e,NULL,11,11,11,0,0,0,0,0,Sensation,Android,2.3,2011_june,Android Webkit
HTC,Z710,htc_sensation_ver1_subz710e_b,htc_sensation_ver1_subz710e,CLICKTAG,2,2,0,2,1,1,0.5,0.5,Sensation,Android,2.3,2011_june,Android Webkit
Nintendo,3DS,nintendo_3ds_ver1,generic_xhtml,CLICKTAG,2,2,0,2,0,0,0,0,,,,2011_september,Netfront NX
Nintendo,3DS,nintendo_3ds_ver1,generic_xhtml,NULL,3,3,3,0,0,0,0,0,,,,2011_september,Netfront NX
Nokia,700,nokia_700_ver1_subos53,nokia_700_ver1,NULL,2498,2498,2498,0,0,0,0,0,,Symbian OS,5.3,2011_august,Nokia BrowserNG
Nokia,700,nokia_700_ver1_subos53,nokia_700_ver1,CLICKTAG,1735,768,0,1735,60,60,0.034582132564842,0.034582132564842,,Symbian OS,5.3,2011_august,Nokia BrowserNG
Google,Nexus S,samsung_nexus_s_ver1_suban236,samsung_nexus_s_ver1_suban233,GooglePlay,1,0,0,1,0,0,0,0,,Android,2.3,2010_november,Android Webkit
Google,Nexus S,samsung_nexus_s_ver1_suban236,samsung_nexus_s_ver1_suban233,NULL,2,2,2,0,0,0,0,0,,Android,2.3,2010_november,Android Webkit
LG,E510,lg_e510_ver1,generic_android_ver2_3,GooglePlay,11,2,0,11,0,0,0,0,Optimus Hub,Android,2.3,2011_september,Android Webkit
LG,E510,lg_e510_ver1,generic_android_ver2_3,NULL,6,6,6,0,0,0,0,0,Optimus Hub,Android,2.3,2011_september,Android Webkit
SonyEricsson,LT18i,sonyericsson_lt18i_ver1,generic_android_ver2_3,GooglePlay,1,0,0,1,0,0,0,0,Xperia Arc,Android,2.3,2011_september,Android Webkit
LG,LG-P525,lg_p525_ver1,lg_generic_obigo_q7,CLICKTAG,15,6,0,15,2,2,0.133333333333333,0.133333333333333,,,,2011_september,Teleca-Obigo
LG,LG-P525,lg_p525_ver1,lg_generic_obigo_q7,NULL,8,8,8,0,0,0,0,0,,,,2011_september,Teleca-Obigo
Huawei,U8650,huawei_u8650_ver1,generic_android_ver2_3,NULL,6,6,6,0,0,0,0,0,Sonic,Android,2.3,2011_september,Android Webkit
Huawei,U8650,huawei_u8650_ver1,generic_android_ver2_3,GooglePlay,17,1,0,17,0,0,0,0,Sonic,Android,2.3,2011_september,Android Webkit
HTC,A510,htc_wildfire_s_ver1_suborange,htc_wildfire_s_ver1,GooglePlay,1,0,0,1,0,0,0,0,Wildfire S,Android,2.3,2011_may,Android Webkit
HTC,A510,htc_wildfire_s_ver1_suborange,htc_wildfire_s_ver1,NULL,2,2,2,0,0,0,0,0,Wildfire S,Android,2.3,2011_may,Android Webkit
HTC,A3333,htc_wildfire_ver1_subua3333froyo,htc_wildfire_ver1,NULL,74,74,74,0,0,0,0,0,Wildfire,Android,2.2,2011_september,Android Webkit
HTC,A3333,htc_wildfire_ver1_subua3333froyo,htc_wildfire_ver1,GooglePlay,160,28,0,160,1,1,0.00625,0.00625,Wildfire,Android,2.2,2011_september,Android Webkit
Nokia,701,nokia_701_ver1,nokia_generic_symbian_belle,NULL,974,974,974,0,0,0,0,0,,Symbian OS,Belle,2011_august,Nokia BrowserNG
Nokia,701,nokia_701_ver1,nokia_generic_symbian_belle,SMS_WAP,2,0,0,2,0,0,0,0,,Symbian OS,Belle,2011_august,Nokia BrowserNG
Nokia,701,nokia_701_ver1,nokia_generic_symbian_belle,CLICKTAG,941,365,0,941,34,34,0.036131774707758,0.036131774707758,,Symbian OS,Belle,2011_august,Nokia BrowserNG
SonyEricsson,CK13i,sonyericsson_ck13i_ver1,lg_generic_obigo_q7,NULL,2,2,2,0,0,0,0,0,SonyEricsson TXT,,,2011_october,Teleca-Obigo
SonyEricsson,CK13i,sonyericsson_ck13i_ver1,lg_generic_obigo_q7,CLICKTAG,10,0,0,10,0,0,0,0,SonyEricsson TXT,,,2011_october,Teleca-Obigo
HTC,PJ401,htc_one_s_ver1_suban42nohtc,htc_one_s_ver1,GooglePlay,20,1,0,20,0,0,0,0,One S,Android,4,2012_march,Android Webkit
HTC,PJ401,htc_one_s_ver1_suban42nohtc,htc_one_s_ver1,NULL,7,7,7,0,0,0,0,0,One S,Android,4,2012_march,Android Webkit
SonyEricsson,LT28i,sonyericsson_lt28i_ver1_suban40hnosony,sonyericsson_lt28i_ver1,GooglePlay,461,35,0,461,2,2,0.004338394793926,0.004338394793926,Xperia Ion,Android,4,2012_january,Android Webkit
SonyEricsson,LT28i,sonyericsson_lt28i_ver1_suban40hnosony,sonyericsson_lt28i_ver1,NULL,203,203,203,0,0,0,0,0,Xperia Ion,Android,4,2012_january,Android Webkit
Samsung,SGH-T989,samsung_sgh_t989_ver1_suban41,samsung_sgh_t989_ver1,GooglePlay,5,0,0,5,0,0,0,0,Galaxy SII,Android,4.1,2012_june,Android Webkit
Samsung,SGH-T989,samsung_sgh_t989_ver1_suban41,samsung_sgh_t989_ver1,NULL,6,6,6,0,0,0,0,0,Galaxy SII,Android,4.1,2012_june,Android Webkit
Motorola,MB855,mot_mb855_ver1,generic_android_ver2_3,GooglePlay,4,1,0,4,0,0,0,0,Photon,Android,2.3,2011_july,Android Webkit
Motorola,MB855,mot_mb855_ver1,generic_android_ver2_3,NULL,1,1,1,0,0,0,0,0,Photon,Android,2.3,2011_july,Android Webkit
Motorola,XT530,mot_xt530_ver1,generic_android_ver2_3,GooglePlay,8,2,0,8,0,0,0,0,,Android,2.3,2011_october,Android Webkit
Motorola,XT530,mot_xt530_ver1,generic_android_ver2_3,NULL,7,7,7,0,0,0,0,0,,Android,2.3,2011_october,Android Webkit
Samsung,GT-i8350,samsung_gt_i8350_ver1,samsung_omnia7_ver1_subos75,NULL,3,3,3,0,0,0,0,0,Omnia W,Windows Phone OS,7.5,2011_october,IEMobile
Acer,A100,acer_iconia_tab_a100_ver1_suban32,acer_iconia_tab_a100_ver1,GooglePlay,3,0,0,3,0,0,0,0,Vangogh,Android,3.2,2011_october,Android Webkit
Apple,iPhone,apple_iphone_ver5,apple_iphone_ver4,NULL,6900,6900,6900,0,0,0,0,0,,iOS,5,2011_october,Safari
Apple,iPhone,apple_iphone_ver5,apple_iphone_ver4,WAPPIN,304,219,0,304,40,9,0.029605263157895,0.029605263157895,,iOS,5,2011_october,Safari
Apple,iPhone,apple_iphone_ver5,apple_iphone_ver4,CLICKTAG,1,1,0,1,0,0,0,0,,iOS,5,2011_october,Safari
Apple,iPhone,apple_iphone_ver5,apple_iphone_ver4,GooglePlay,2,2,0,2,1,0,0,0,,iOS,5,2011_october,Safari
Apple,iPhone,apple_iphone_ver5,apple_iphone_ver4,SMS_WAP,72,58,0,72,0,0,0,0,,iOS,5,2011_october,Safari
Apple,iPhone,apple_iphone_ver5,apple_iphone_ver4,Unknown,1187,888,0,1187,0,0,0,0,,iOS,5,2011_october,Safari
Apple,iPod Touch,apple_ipod_touch_ver5,apple_ipod_touch_ver4,Unknown,77,63,0,77,0,0,0,0,,iOS,5,2011_october,Safari
Apple,iPod Touch,apple_ipod_touch_ver5,apple_ipod_touch_ver4,NULL,435,435,435,0,0,0,0,0,,iOS,5,2011_october,Safari
Apple,iPod Touch,apple_ipod_touch_ver5,apple_ipod_touch_ver4,WAPPIN,16,14,0,16,4,1,0.0625,0.0625,,iOS,5,2011_october,Safari
Apple,iPod Touch,apple_ipod_touch_ver5,apple_ipod_touch_ver4,SMS_WAP,6,3,0,6,0,0,0,0,,iOS,5,2011_october,Safari
Apple,iPod Touch,apple_ipod_touch_ver5,apple_ipod_touch_ver4,CLICKTAG,1,1,0,1,0,0,0,0,,iOS,5,2011_october,Safari
HTC,A510,htc_wildfire_s_ver1_subua2,htc_wildfire_s_ver1,GooglePlay,19,4,0,19,1,1,0.052631578947368,0.052631578947368,Wildfire S,Android,2.3,2011_may,Android Webkit
HTC,A510,htc_wildfire_s_ver1_subua2,htc_wildfire_s_ver1,NULL,12,12,12,0,0,0,0,0,Wildfire S,Android,2.3,2011_may,Android Webkit
Nokia,Lumia 800,nokia_lumia_800_ver1,generic_ms_nokia_phone_os7_5,CLICKTAG,38,31,0,38,0,0,0,0,,Windows Phone OS,7.5,2011_october,IEMobile
Nokia,Lumia 800,nokia_lumia_800_ver1,generic_ms_nokia_phone_os7_5,NULL,183,183,183,0,0,0,0,0,,Windows Phone OS,7.5,2011_october,IEMobile
RIM,BlackBerry 9360,blackberry9360_ver1,blackberry_generic_ver7,NULL,59,59,59,0,0,0,0,0,Curve,RIM OS,7,2011_october,BlackBerry
RIM,BlackBerry 9360,blackberry9360_ver1,blackberry_generic_ver7,CLICKTAG,6,6,0,6,0,0,0,0,Curve,RIM OS,7,2011_october,BlackBerry
Samsung,Galaxy Nexus,samsung_galaxy_nexus_ver1,generic_android_ver4,NULL,62,62,62,0,0,0,0,0,,Android,4,2011_october,Android Webkit
Samsung,Galaxy Nexus,samsung_galaxy_nexus_ver1,generic_android_ver4,GooglePlay,93,18,0,93,1,1,0.010752688172043,0.010752688172043,,Android,4,2011_october,Android Webkit
Samsung,GT-S5660,samsung_gt_s5660_ver1_suban23,samsung_gt_s5660_ver1,GooglePlay,332,68,0,332,3,3,0.009036144578313,0.009036144578313,Galaxy Gio,Android,2.3.5,2011_october,Android Webkit
Samsung,GT-S5660,samsung_gt_s5660_ver1_suban23,samsung_gt_s5660_ver1,NULL,171,171,171,0,0,0,0,0,Galaxy Gio,Android,2.3.5,2011_october,Android Webkit
HTC,Desire Z,htc_desire_z_ver1_suban233,htc_desire_z_ver1_suban23,GooglePlay,1,0,0,1,0,0,0,0,,Android,2.3,2011_april,Android Webkit
Samsung,GT-S5830,samsung_gt_s5830_ver1_suban235,samsung_gt_s5830_ver1_suban233,NULL,1,1,1,0,0,0,0,0,Galaxy Ace,Android,2.3.5,2011_october,Android Webkit
Samsung,GT-S5830,samsung_gt_s5830_ver1_suban235,samsung_gt_s5830_ver1_suban233,GooglePlay,3,0,0,3,0,0,0,0,Galaxy Ace,Android,2.3.5,2011_october,Android Webkit
Motorola,ISW11M,motorola_isw11m_ver1,generic_android_ver2_3,NULL,2,2,2,0,0,0,0,0,PHOTON ISW11M for KDDI,Android,2.3.4,2010_november,Android Webkit
Google,Nexus S,samsung_nexus_s_ver1_suban233_subua1,samsung_nexus_s_ver1_suban233,NULL,1,1,1,0,0,0,0,0,,Android,2.3,2010_november,Android Webkit
Google,Nexus S,samsung_nexus_s_ver1_suban233_subua1,samsung_nexus_s_ver1_suban233,GooglePlay,2,1,0,2,0,0,0,0,,Android,2.3,2010_november,Android Webkit
HTC,A9191,htc_desirehd_ver1_suban23a9191,htc_desirehd_ver1,NULL,46,46,46,0,0,0,0,0,Desire HD,Android,2.3,2009_october,Android Webkit
HTC,A9191,htc_desirehd_ver1_suban23a9191,htc_desirehd_ver1,GooglePlay,42,9,0,42,0,0,0,0,Desire HD,Android,2.3,2009_october,Android Webkit
