brand_name,model_name,wurfl_device_id,wurfl_fall_back,method,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
Nokia,5530,nokia_5530_xpressmusic_ver2_sub110054,nokia_5530_xpressmusic_ver1,NULL,35,0,0,35,0,0,0,0,XpressMusic,Symbian OS,9.4,2009_june,Safari
Nokia,5310 XpressMusic,nokia_5310_xpressmusic_ver1_sub0581,nokia_5310_xpressmusic_ver1,CLICKTAG,2,0,0,2,0,0,0,0,XpressMusic,,,2007_august,Nokia
Nokia,5310 XpressMusic,nokia_5310_xpressmusic_ver1_sub0581,nokia_5310_xpressmusic_ver1,WAP,4,0,0,4,1,1,0.25,0.25,XpressMusic,,,2007_august,Nokia
Nokia,5310 XpressMusic,nokia_5310_xpressmusic_ver1_sub0832,nokia_5310_xpressmusic_ver1,WAP,1,0,0,1,0,0,0,0,XpressMusic,,,2007_august,Nokia
Nokia,5310 XpressMusic,nokia_5310_xpressmusic_ver1_sub0942,nokia_5310_xpressmusic_ver1,WAP,7,0,0,7,3,3,0.428571428571429,0.428571428571429,XpressMusic,,,2007_august,Nokia
Nokia,5310 XpressMusic,nokia_5310_xpressmusic_ver1_sub1010,nokia_5310_xpressmusic_ver1,CLICKTAG,1,0,0,1,0,0,0,0,XpressMusic,,,2007_august,Nokia
Nokia,5310 XpressMusic,nokia_5310_xpressmusic_ver1_sub1010,nokia_5310_xpressmusic_ver1,WAP,48,0,0,48,10,2,0.041666666666667,0.041666666666667,XpressMusic,,,2007_august,Nokia
Nokia,5310 XpressMusic,nokia_5310_xpressmusic_ver1_sub1010,nokia_5310_xpressmusic_ver1,NULL,1,0,0,1,0,0,0,0,XpressMusic,,,2007_august,Nokia
Google,Nexus One,google_nexusone_ver1,htc_passion_ver1,GooglePlay,5,0,0,5,0,0,0,0,HTC Nexus One,Android,2.1,2009_october,Android Webkit
SonyEricsson,J20i,sonyericsson_j20i_ver1,generic_netfront_ver3_5,CLICKTAG,14,0,0,14,0,0,0,0,,,,2010_january,Access Netfront
Nokia,N2730c,nokia_2730c_ver1_sub1b,nokia_2730c_ver1,JAVA_APP,1,0,0,1,0,0,0,0,,,,2010_january,Nokia
LG,GT505,lg_gt505_ver1_subv10a,lg_gt505_ver1,CLICKTAG,1,0,0,1,0,0,0,0,,,,2009_august,Teleca-Obigo
Samsung,GT S5560,samsung_gt_s5560_ver1,generic_dolfin,WAP,3,0,0,3,0,0,0,0,,,,2010_january,Dolfin/Jasmine Webkit
Samsung,GT S5560,samsung_gt_s5560_ver1,generic_dolfin,CLICKTAG,2,0,0,2,0,0,0,0,,,,2010_january,Dolfin/Jasmine Webkit
Apple,iPad,apple_ipad_ver1,apple_generic,NULL,3,0,0,3,0,0,0,0,,iOS,3.2,2010_january,Safari
Apple,iPad,apple_ipad_ver1,apple_generic,WAP,3,0,0,3,0,0,0,0,,iOS,3.2,2010_january,Safari
Apple,iPad,apple_ipad_ver1,apple_generic,CLICKTAG,1,0,0,1,0,0,0,0,,iOS,3.2,2010_january,Safari
Apple,iPad,apple_ipad_ver1,apple_generic,WAPPIN,183,0,0,183,3,1,0.005464480874317,0.005464480874317,,iOS,3.2,2010_january,Safari
Apple,iPad,apple_ipad_ver1,apple_generic,Unknown,59,0,0,59,0,0,0,0,,iOS,3.2,2010_january,Safari
Nokia,C5-00,nokia_c5_00_ver1,nokia_generic_series60_dp30_fp2_webkit,WAP,2151,0,0,2151,369,207,0.096234309623431,0.096234309623431,C5,Symbian OS,9.3,2010_march,Nokia BrowserNG
Nokia,C5-00,nokia_c5_00_ver1,nokia_generic_series60_dp30_fp2_webkit,NULL,15,0,0,15,0,0,0,0,C5,Symbian OS,9.3,2010_march,Nokia BrowserNG
