brand_name,model_name,wurfl_device_id,wurfl_fall_back,Method,Visits,Op Sel Visits,Op Sel Visits Only,LP Visits,Submissions,Subscribers,Conv,RealConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
,,generic,root,SMS_WAP,10,1,0,10,0,0,0,0,,,,2002_january,
,,generic,root,Unknown,279,0,0,279,8,7,0.025089605734767,0.025089605734767,,,,2002_january,
,,generic,root,CLICKTAG,111,9,0,111,1,1,0.00900900900900901,0.00900900900900901,,,,2002_january,
,,generic,root,IVR,5,2,0,5,0,0,0,0,,,,2002_january,
,,generic,root,,52,52,52,0,0,0,0,0,,,,2002_january,
,,generic,root,WAP,24,0,0,24,6,6,0.25,0.25,,,,2002_january,
,,generic_mobile,generic,JAVA_APP,7,3,0,7,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,WAP,64,7,0,64,9,9,0.140625,0.140625,,,,2002_january,
,,generic_mobile,generic,Unknown,199,21,0,199,10,9,0.0452261306532663,0.0452261306532663,,,,2002_january,
,,generic_mobile,generic,,252,252,252,0,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,SMS_WAP,5,4,0,5,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,CLICKTAG,338,86,0,338,16,16,0.0473372781065089,0.0473372781065089,,,,2002_january,
,,generic_mobile,generic,IVR,9,3,0,9,0,0,0,0,,,,2002_january,
,,generic_xhtml,generic_mobile,CLICKTAG,1,0,0,1,0,0,0,0,,,,2002_july,
,,generic_xhtml,generic_mobile,Unknown,2,0,0,2,0,0,0,0,,,,2002_july,
,,generic_xhtml,generic_mobile,,1,1,1,0,0,0,0,0,,,,2002_july,
generic web browser,,generic_web_browser,generic,,1,1,1,0,0,0,0,0,,,,1994_january,
generic web browser,,generic_web_browser,generic,Unknown,3,0,0,3,0,0,0,0,,,,1994_january,
Nokia,,nokia_generic_series60,nokia_generic_series40,SMS_WAP,1,0,0,1,0,0,0,0,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,Unknown,6,0,0,6,1,1,0.166666666666667,0.166666666666667,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,CLICKTAG,5,2,0,5,1,1,0.2,0.2,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,,4,4,4,0,0,0,0,0,,Symbian OS,,2002_january,Nokia
,,opwv_v62_generic,opwv_v61_generic,CLICKTAG,4,0,0,4,0,0,0,0,,,,2003_january,Openwave Mobile Browser
Generic,Windows Phone 8,generic_ms_phone_os8_desktopmode,generic_ms_phone_os8,CLICKTAG,7,0,0,7,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Generic,Windows Phone 8,generic_ms_phone_os8_desktopmode,generic_ms_phone_os8,Unknown,12,0,0,12,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Nokia,Generic Maemo with Fennec,nokia_generic_maemo_with_firefox,nokia_generic_maemo,Unknown,1,0,0,1,0,0,0,0,,Linux Smartphone OS,,2011_january,Firefox
Nokia,Generic Maemo with Fennec,nokia_generic_maemo_with_firefox,nokia_generic_maemo,CLICKTAG,1,0,0,1,0,0,0,0,,Linux Smartphone OS,,2011_january,Firefox
Generic,Windows Phone 8,generic_ms_phone_os8,generic_ms_phone_os7_5,Unknown,4,0,0,4,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Generic,Windows Phone 8,generic_ms_phone_os8,generic_ms_phone_os7_5,,3,3,3,0,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
MAUI-based Generic,MAUI WAP Browser,generic_maui_wap_browser_camelcase,generic_maui_wap_browser,,4,4,4,0,0,0,0,0,,MTK/Nucleus OS,,2006_january,MAUI Wap Browser
MAUI-based Generic,MAUI WAP Browser,generic_maui_wap_browser_camelcase,generic_maui_wap_browser,Unknown,35,0,0,35,2,2,0.0571428571428571,0.0571428571428571,,MTK/Nucleus OS,,2006_january,MAUI Wap Browser
MAUI-based Generic,MAUI WAP Browser,generic_maui_wap_browser_camelcase,generic_maui_wap_browser,WAP,5,0,0,5,1,1,0.2,0.2,,MTK/Nucleus OS,,2006_january,MAUI Wap Browser
