brand_name,model_name,wurfl_device_id,wurfl_fall_back,Method,Visits,Op Sel Visits,Op Sel Visits Only,LP Visits,Submissions,Subscribers,Conv,RealConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
,,generic,root,WAP,53,0,0,53,7,2,0.0377358490566038,0.0377358490566038,,,,2002_january,
,,generic,root,,120,120,120,0,0,0,0,0,,,,2002_january,
,,generic,root,Unknown,216,0,0,216,8,8,0.037037037037037,0.037037037037037,,,,2002_january,
,,generic,root,CLICKTAG,142,8,0,142,4,4,0.028169014084507,0.028169014084507,,,,2002_january,
,,generic_mobile,generic,WAP,115,6,0,115,12,7,0.0608695652173913,0.0608695652173913,,,,2002_january,
,,generic_mobile,generic,Unknown,162,33,0,162,16,16,0.0987654320987654,0.0987654320987654,,,,2002_january,
,,generic_mobile,generic,,276,276,276,0,0,0,0,0,,,,2002_january,
,,generic_mobile,generic,CLICKTAG,413,82,0,413,17,17,0.0411622276029056,0.0411622276029056,,,,2002_january,
,,generic_mobile,generic,GooglePlay,2,0,0,2,0,0,0,0,,,,2002_january,
,,generic_xhtml,generic_mobile,CLICKTAG,2,1,0,2,0,0,0,0,,,,2002_july,
,,generic_xhtml,generic_mobile,Unknown,1,0,0,1,0,0,0,0,,,,2002_july,
Nokia,,nokia_generic_series60,nokia_generic_series40,Unknown,26,0,0,26,1,1,0.0384615384615385,0.0384615384615385,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,WAP,1,0,0,1,0,0,0,0,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,,2,2,2,0,0,0,0,0,,Symbian OS,,2002_january,Nokia
Nokia,,nokia_generic_series60,nokia_generic_series40,CLICKTAG,2,0,0,2,0,0,0,0,,Symbian OS,,2002_january,Nokia
,,opwv_v62_generic,opwv_v61_generic,Unknown,1,0,0,1,0,0,0,0,,,,2003_january,Openwave Mobile Browser
,,opwv_v62_generic,opwv_v61_generic,CLICKTAG,1,0,0,1,0,0,0,0,,,,2003_january,Openwave Mobile Browser
Generic,Windows Phone 8,generic_ms_phone_os8_desktopmode,generic_ms_phone_os8,CLICKTAG,2,0,0,2,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Nokia,Generic Maemo with Fennec,nokia_generic_maemo_with_firefox,nokia_generic_maemo,CLICKTAG,1,0,0,1,0,0,0,0,,Linux Smartphone OS,,2011_january,Firefox
Nokia,Generic Maemo with Fennec,nokia_generic_maemo_with_firefox,nokia_generic_maemo,,1,1,1,0,0,0,0,0,,Linux Smartphone OS,,2011_january,Firefox
Nokia,Generic Maemo with Fennec,nokia_generic_maemo_with_firefox,nokia_generic_maemo,Unknown,1,0,0,1,0,0,0,0,,Linux Smartphone OS,,2011_january,Firefox
Generic,Windows Phone 8,generic_ms_phone_os8,generic_ms_phone_os7_5,,1,1,1,0,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Generic,Windows Phone 8,generic_ms_phone_os8,generic_ms_phone_os7_5,Unknown,5,0,0,5,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
Generic,Windows Phone 8,generic_ms_phone_os8,generic_ms_phone_os7_5,CLICKTAG,8,0,0,8,0,0,0,0,,Windows Phone OS,8,2012_october,IEMobile
MAUI-based Generic,MAUI WAP Browser,generic_maui_wap_browser_camelcase,generic_maui_wap_browser,WAP,43,0,0,43,6,6,0.13953488372093,0.13953488372093,,MTK/Nucleus OS,,2006_january,MAUI Wap Browser
