brand_name,model_name,wurfl_device_id,wurfl_fall_back,visits,opSelVisits,opSelVisitsOnly,lpVisits,submissions,subscribers,conv,realConv,marketing_name,device_os,device_os_version,release_date,mobile_browser
HTC,A510,htc_wildfire_s_ver1_subuscore,htc_wildfire_s_ver1,4,4,4,0,0,0,0,0,Wildfire S,Android,2.3,2011_may,Android Webkit
SonyEricsson,LT15a,sonyericsson_lt15i_ver1_subuaanose,sonyericsson_lt15i_ver1,36,8,8,28,0,0,0,0,Xperia Arc,Android,2.3,2011_january,Android Webkit
Coby,MID7012,coby_mid7012_ver1,generic_android_ver2_3,7,3,2,5,0,0,0,0,Kyros MID7012,Android,2.3,2010_november,Android Webkit
Coby,MID7022,coby_mid7022_ver1,generic_android_ver2_3,12,3,3,9,0,0,0,0,Kyros MID7022,Android,2.3,2010_november,Android Webkit
Coby,MID8125,coby_mid8125_ver1,generic_android_ver2_3,2,1,0,2,0,0,0,0,Kyros MID8125,Android,2.3,2010_november,Android Webkit
SonyEricsson,R800at,sonyericsson_r800i_ver1_subatnose,sonyericsson_r800i_ver1,3,1,1,2,0,0,0,0,Xperia PLAY,Android,2.3,2011_january,Android Webkit
Huawei,U9000,huawei_ideos_x6_ver1,generic_android_ver2_2,4,1,0,4,0,0,0,0,Ideos X6,Android,2.2,2012_march,Android Webkit
LG,L45C,lg_l45c_ver1,generic_android_ver2_3,12,7,6,6,0,0,0,0,Optimus Net,Android,2.3,2010_november,Android Webkit
LG,VM701,lg_l55c_ver1_vm701,lg_l55c_ver1,2,0,0,2,0,0,0,0,Optimus Slider,Android,2.3,2010_november,Android Webkit
SonyEricsson,MT11a,sonyericsson_mt11i_ver1_subuaa,sonyericsson_mt11i_ver1,15,7,4,11,0,0,0,0,Xperia Neo V,Android,2.3,2011_october,Android Webkit
HTC,A310e,htc_a310e_ver1_subuauscore,htc_a310e_ver1,142,71,57,85,0,0,0,0,Explorer,Android,2.3,2010_november,Android Webkit
Huawei,U8850,huawei_u8850_ver1,generic_android_ver2_3,731,380,304,427,6,6,0.008207934336525,0.014051522248244,Vision,Android,2.3,2010_november,Android Webkit
Motorola,MB865,motorola_mb865_ver1,generic_android_ver2_3,180,102,94,86,1,1,0.005555555555556,0.011627906976744,Atrix 2,Android,2.3,2010_november,Android Webkit
Motorola,MB810,motorola_mb810_ver1,generic_android_ver2_3,1,1,1,0,0,0,0,0,Droid X,Android,2.3,2010_november,Android Webkit
Motorola,MB867,motorola_mb867_ver1,generic_android_ver2_3,2,1,1,1,0,0,0,0,Milestone X2,Android,2.3,2010_november,Android Webkit
Motorola,XT910,mot_xt910_ver1_subuamot,mot_xt910_ver1,195,114,108,87,0,0,0,0,RAZR XT910 Spider,Android,2.3,2011_december,Android Webkit
Pantech,P9070,pantech_p9070_ver1,generic_android_ver2_3,18,7,7,11,0,0,0,0,Burst,Android,2.3,2010_november,Android Webkit
Samsung,SGH-i927,samsung_sgh_i927_ver1,generic_android_ver2_3,49,40,38,11,0,0,0,0,Captivate Glide,Android,2.3,2010_november,Android Webkit
Samsung,SCH-i405,samsung_sch_i405_ver1,generic_android_ver2_3,1,0,0,1,0,0,0,0,Stratosphere,Android,2.3,2010_november,Android Webkit
Samsung,SCH-i405,samsung_sch_i405_ver1_subuano4g,samsung_sch_i405_ver1,1,0,0,1,0,0,0,0,Stratosphere,Android,2.3,2010_november,Android Webkit
Samsung,SGH-I727,samsung_sgh_i727_ver1_subuar,samsung_sgh_i727_ver1,20,13,8,12,0,0,0,0,Galaxy S II Skyrocket,Android,2.3,2012_february,Android Webkit
Samsung,YP-G70,samsung_yp_g70_ver1_suban23,samsung_yp_g70_ver1,7,4,3,4,0,0,0,0,Galaxy Player 5,Android,2.3,2009_october,Android Webkit
Samsung,SGH-T769,samsung_sgh_t769_ver1,generic_android_ver2_3,29,12,12,17,0,0,0,0,Galaxy S Blaze 4G,Android,2.3,2010_november,Android Webkit
LG,MS690,lg_ms690_ver1_suban23,lg_ms690_ver1,1,0,0,1,0,0,0,0,Optimus M,Android,2.3,2009_october,Android Webkit
LG,P925,lg_p925_ver1_suban23,lg_p925_ver1,1,0,0,1,0,0,0,0,Thrill,Android,2.3,2009_october,Android Webkit
Dropad,A8T,dropad_a8t_ver1_suban30,dropad_a8t_ver1,3,1,0,3,0,0,0,0,,Android,3,2010_november,Android Webkit
Motorola,MZ505,motorola_xoom_ver1_subuamz50531,motorola_xoom_ver1,1,1,1,0,0,0,0,0,Xoom,Android,3.1,2011_february,Android Webkit
Samsung,SPH-D710,samsung_sph_d710_ver1_suban40rom,samsung_sph_d710_ver1,30,13,9,21,0,0,0,0,Galaxy SII Epic 4G Touch,Android,4,2012_january,Android Webkit
Samsung,GT-I9000,samsung_gt_i9000_ver1_suban40rom,samsung_gt_i9000_ver1,20,12,10,10,0,0,0,0,Galaxy S,Android,4,2010_march,Android Webkit
Samsung,GT-P7510,samsung_gt_p7510_ver1_suban40rom,samsung_gt_p7510_ver1,167,74,54,113,0,0,0,0,Galaxy Tab 10.1,Android,4,2011_june,Android Webkit
Lenovo,K1,lenovo_k1_ver1,generic_android_ver3_1,155,84,67,88,0,0,0,0,,Android,3.1,2011_february,Android Webkit
Samsung,SGH-T869,samsung_gt_p6200_ver1_subuasgh,samsung_gt_p6200_ver1,1,0,0,1,0,0,0,0,GALAXY Tab 7.0 Plus 4G,Android,3.2,2012_february,Android Webkit
Samsung,SGH-T859,samsung_gt_p7510_ver1_subuasgh,samsung_gt_p7510_ver1,2,0,0,2,0,0,0,0,Galaxy Tab 10.1 4G,Android,3.2,2011_june,Android Webkit
Samsung,GT-S5360T,samsung_gt_s5360_ver1_subuat,samsung_gt_s5360_ver1,1,0,0,1,0,0,0,0,Galaxy Y,Android,2.3,2011_october,Android Webkit
Alcatel,v860,alcatel_v860_ver1,generic_android_ver2_3,27,7,7,20,0,0,0,0,Smart II 3G,Android,2.3,2012_march,Android Webkit
HTC,PJ401,htc_one_s_ver1,generic_android_ver4,97,58,42,55,1,1,0.010309278350516,0.018181818181818,One S,Android,4,2012_march,Android Webkit
HTC,PJ83100,htc_one_x_ver1,generic_android_ver4,1329,626,547,782,8,8,0.00601956358164,0.010230179028133,One X,Android,4,2011_october,Android Webkit
Samsung,GT-S5839i,samsung_gt_s5839i_ver1,generic_android_ver2_3,184,87,66,118,0,0,0,0,Galaxy Ace,Android,2.3,2012_march,Android Webkit
Samsung,GT-S5570,samsung_gt_s5570_ver1_subuaorange_suban23,samsung_gt_s5570_ver1_subuaorange,3,1,1,2,0,0,0,0,Galaxy Mini,Android,2.3,2011_january,Android Webkit
Samsung,GT-P7500,samsung_galaxy_tab_p4_ver1_subbig_an32,samsung_galaxy_tab_p4_ver1_subbig,25,11,8,17,0,0,0,0,Galaxy Tab 10.1,Android,3.2,2011_june,Android Webkit
Alcatel,one_touch_318D,alcatel_ot_318d_ver1,generic_teleca_obigo,1,1,1,0,0,0,0,0,,,,2012_march,Teleca-Obigo
HTC,PH39100,htc_ph39100_ver1_suban40,htc_ph39100_ver1,9,9,9,0,0,0,0,0,Vivid 4G,Android,4,2010_november,Android Webkit
Nokia,301,nokia_301_ver1,nokia_generic_series40_ovibrosr_dp71,2,2,2,0,0,0,0,0,Asha 301,,,2013_february,Nokia Proxy Browser
Nokia,Nokia Asha 201,nokia_201_ver1,nokia_generic_series40_ovibrosr_dp71,74,74,52,22,0,0,0,0,Asha 201,,,2011_october,Nokia Proxy Browser
Nokia,Asha 202,nokia_202_ver1,nokia_generic_series40_ovibrosr_dp71,2887,2885,2391,496,0,0,0,0,Asha 202,,,2012_february,Nokia Proxy Browser
Nokia,Asha 203,nokia_203_ver1,nokia_generic_series40_ovibrosr_dp71,16,16,14,2,0,0,0,0,Asha 203,,,2012_february,Nokia Proxy Browser
Acer,A500,acer_iconia_tab_a500_ver1_suban40,acer_iconia_tab_a500_ver1,134,62,53,81,0,0,0,0,Picasso,Android,4,2012_march,Android Webkit
Acer,A100,acer_iconia_tab_a100_ver1_suban40,acer_iconia_tab_a100_ver1,8,5,3,5,0,0,0,0,Vangogh,Android,4,2012_march,Android Webkit
Nokia,C7-00s,nokia_c7_00_ver1_subuaoro,nokia_c7_00_ver1,102,63,43,59,3,3,0.029411764705882,0.050847457627119,Oro,Symbian OS,S3,2012_march,Nokia BrowserNG
